original	corrected	confidence
Netherland	Nethermind	high
Nethermine	Nethermind	high
eTrex	ethrex	high
EFREX	ethrex	high
Loster	Lodestar	high
Consterdam	Glamsterdam	high
Clamsterdam	Glamsterdam	high
Hagoda	Hegota	high
Heikota	Hegota	high
Hebotza	Hegota	high
Aragon	Erigon	medium
Bestoon	Besu	high
Gav	Geth	high
stay aspire	state expiry	medium
Stay at Spari	state expiry	medium
State Aspiri	state expiry	medium
Tagnet	DevNet	high
Ibnet	DevNet	high
Ball DevNet	BAL DevNet	high
CR teams	CL teams	medium
EAP4758	SIP-4758	high
AIPs	SIPs	high
ACV	ACD	high
A1A2	8182	medium
