original	corrected	confidence
Glamstadam	Glamsterdam	high
EATH70	ETH70	medium
EATH71	ETH71	medium
EVE71	ETH71	high
EVE70	ETH70	high
GAS	Geth	medium
Netherland	Nethermind	high
Prism	Prysm	high
Glamstaden	Glamsterdam	high
Glamstadem	Glamsterdam	high
Labsedam	Glamsterdam	high
Glamsteram	Glamsterdam	high
RAM stream	Glamsterdam	medium
Glampstadm	Glamsterdam	high
Clamsadam	Glamsterdam	high
Glamstaden	Glamsterdam	high
Nethermine	Nethermind	high
MotherMind	Nethermind	high
HEGOTA	Hegota	high
Headquota	Hegota	high
Hagita	Hegota	medium
Hedata	Hegota	medium
Hagota	Hegota	high
SSC	SSZ	high
SSE	SSZ	medium
SSD	SSZ	medium
ACDT	ACDC	medium
gloss	Gloas	medium
Denal	devnet	medium
Deku	Teku	high
Techu	Teku	high
DCIP	SIP	medium
CGVM	zkEVM	medium
CDVM	zkEVM	medium
